Αφρική	Afrika
Παρίσι	Parijs
Αβραάμ Λίνκολν	Abraham Lincoln
Android	Android (besturingssysteem)
Google	Google Inc.
Μεξικό	Mexico (land)
Ατλαντικός Ωκεανός	Atlantische Oceaan
Ειρηνικός Ωκεανός	Grote Oceaan
Καλιφόρνια	Californië
Βοστώνη	Boston
Λοπαδο­τεμαχο­σελαχο­γαλεο­κρανιο­λειψανο­δριμ­υπο­τριμματο­σιλφιο­καραβο­μελιτο­κατακεχυ­μενο ­κιχλ­επι­κοσσυφο­φαττο­περιστε...	Lopado­temacho­selacho­galeo­kranio­leipsano­drim­hypo­trimmato­silphio­parao­melito­katakechy­meno­kichl­epi­kossypho­phatto­perister­alektryon­opte­kephallio­kigklo­peleio­lagoio­siraio­baphe­tragano­pterygon
Δευτέρα	Maandag
Χώρος	Ruimte (natuurkunde)
Ιανουάριος	Januari
Φεβρουάριος	Februari
Μάρτιος	Maart
Άρης (πλανήτης)	Mars (planeet)
Μαρς	Mars (mythologie)
Κένυα	Kenia
Αιθιοπία	Ethiopië
Μονάρχης	Monarch (staatshoofd)
Γκάνα	Ghana
Απρίλιος	April
Μάιος	Mei
Ιούνιος	Juni
Ιούλιος	Juli
Αύγουστος	Augustus (maand)
Σεπτέμβριος	September
Οκτώβριος	Oktober
Νοέμβριος	November
Δεκέμβριος	December
Τρίτη	Dinsdag
Τετάρτη	Woensdag
Πέμπτη	Donderdag
Παρασκευή	Vrijdag
Σάββατο	Zaterdag
Κυριακή	Zondag
Αξιωματικός (σκάκι)	Loper (schaken)
Πιόνι (σκάκι)	Pion (schaken)
Ίππος (σκάκι)	Paard (schaken)
Πύργος (σκάκι)	Toren (schaken)
Βασιλιάς (σκάκι)	Koning (schaken)
Βασίλισσα (σκάκι)	Dame (schaken)
Λιοντάρι	Leeuw (dier)
Γαλλία	Frankrijk
Εσπεράντο	Esperanto
Σκύλος	Hond
Ηνωμένο Βασίλειο	Verenigd Koninkrijk
Γάτα	Kat (dier)
Λαϊκή Δημοκρατία της Κίνας	Volksrepubliek China
Nyan Cat	Nyan Cat
Γαλλική γλώσσα	Frans
Βικιλεξικό	Wiktionary
Ψάρι	Vissen (dieren)
Αιθανόλη	Ethanol
Αλκοολούχο ποτό	Alcoholische drank
Βραζιλία	Brazilië
Αλκοόλες	Alcohol (stofklasse)
Φρανσουά Ολλάντ	François Hollande
Ρωσία	Rusland
Κητώδη	Walvisachtigen
Οπτική ίνα	Optische vezel
Τετράγωνο	Vierkant (meetkunde)
Θάλασσα	Zee
Μαύρη Θάλασσα	Zwarte Zee
Αριθμός π	Pi (wiskunde)
Πι	Pi (letter)
Wiki	Wiki
Τορόντο	Toronto
Αλαμπάμα	Alabama
Σάο Πάολο	São Paulo (stad)
Κεμπέκ (επαρχία)	Quebec (provincie)
Πίτσα	Pizza
Ζυμαρικό	Pasta (deegwaar)
Boeing 747	Boeing 747
Ίδρυμα Wikimedia	Wikimedia Foundation
Τζίμι Γουέιλς	Jimmy Wales
Γερμανία	Duitsland
Λευκορωσία	Wit-Rusland
Εθνικός ύμνος της Ιταλίας	Il Canto degli Italiani
Γερμανική γλώσσα	Duits
Ισλανδία	IJsland
Θεός	God (monotheïsme)
Εσθονία	Estland
Ντέιβιντ Κάμερον	David Cameron
Κρόνος (πλανήτης)	Saturnus (planeet)
Σοκολάτα	Chocolade
Κεράσι	Kers (fruit)
Αεροπλάνο	Vliegtuig
Πόλεμος	Oorlog
1 (αριθμός)	1 (getal)
2 (αριθμός)	2 (getal)
3 (αριθμός)	3 (getal)
4 (αριθμός)	4 (getal)
5 (αριθμός)	5 (getal)
0 (αριθμός)	0 (getal)
Άπειρο	Oneindigheid
Στήβεν Χάρπερ	Stephen Harper
Τζορτζ Μπους (νεότερος)	George W. Bush
Ορθογώνιο παραλληλόγραμμο	Rechthoek
Ορθή γωνία	Rechte hoek
Λετονία	Letland
Ουκρανία	Oekraïne
Τσεχία	Tsjechië
Σλοβακία	Slowakije
Σλοβενία	Slovenië
Βίλνιους	Vilnius
Μολδαβία	Moldavië (land)
Ρουμανία	Roemenië
Βουλγαρία	Bulgarije
Ρώμη	Rome (stad)
Πρώην Γιουγκοσλαβική Δημοκρατία της Μακεδονίας	Macedonië (land)
Αλβανία	Albanië
Γροιλανδία	Groenland
Κροατία	Kroatië
Βοσνία και Ερζεγοβίνη	Bosnië en Herzegovina
Νουούκ	Nuuk
Αζερμπαϊτζάν	Azerbeidzjan
Ανδόρρα	Andorra
Κύπρος	Cyprus
Γεωργία	Georgië
Βαλλωνική Περιοχή	Wallonië
Καζακστάν	Kazachstan
Μάλτα	Malta (land)
Φλάνδρα	Vlaanderen
Μονακό	Monaco
Μαυροβούνιο	Montenegro
Βατικανό	Vaticaanstad
Άγιος Μαρίνος	San Marino
Βρυξέλλες	Brussel (stad)
Περιοχή των Βρυξελλών	Brussels Hoofdstedelijk Gewest
Κούβα	Cuba (land)
Μπελίζ	Belize (land)
Πύργος του Άιφελ	Eiffeltoren
Μπαρμπάντος	Barbados
Volkswagen	Volkswagen
Volkswagen Golf	Volkswagen Golf
Intel Corporation	Intel
Πληκτρολόγιο	Toetsenbord (computer)
Java	Java (programmeertaal)
Ινδονησία	Indonesië
QWERTY	QWERTY
Βόλφγκανγκ Αμαντέους Μότσαρτ	Wolfgang Amadeus Mozart
Λούντβιχ βαν Μπετόβεν	Ludwig van Beethoven
Τουρκική γλώσσα	Turks
Νότια Αφρική	Zuid-Afrika
Ζαν-Φρανσουά Σαμπολιόν	Jean-François Champollion
Linkin Park	Linkin Park
Αλγερία	Algerije
Βικιθήκη	Wikisource
Τυφώνας Σάντι	Sandy (orkaan)
Ουζμπεκιστάν	Oezbekistan
Πόζναν	Poznań (stad)
Τασκένδη	Tasjkent
Βαρσοβία	Warschau
Άιλα	Islay (eiland)
Γέφυρα Φορθ	Forth Bridge
Διαγωνισμός Τραγουδιού Eurovision	Eurovisiesongfestival
Μόντενα	Modena (stad)
Ουίσκι	Whisky
Κρασί	Wijn
Νερό	Water
Κονιάκ	Cognac (drank)
Ζωικό δέρμα	Leer (stof)
Ξύλο	Hout
Τουρ	Tours (Indre-et-Loire)
Τηλεόραση	Televisie
Φύλο	Sekse
Πορνογραφία	Pornografie
Ισλανδική γλώσσα	IJslands
Κλωντ Μονέ	Claude Monet
Ντιέγο Βελάθκεθ	Diego Velázquez (kunstschilder)
Χιλή	Chili
Δομήνικος Θεοτοκόπουλος	El Greco
Ιησούς Χριστός	Jezus (traditioneel-christelijk)
Έλβις Πρίσλεϊ	Elvis Presley
Σεμπαστιάν Πινιέρα	Sebastián Piñera
Γαλιλαίος Γαλιλέι	Galileo Galilei
Ερμής (πλανήτης)	Mercurius (planeet)
Ιστορία	Geschiedenis
Κοιμητήριο Περ Λασαίζ	Cimetière du Père-Lachaise
Apple	Apple Inc.
Αφροδίτη (πλανήτης)	Venus (planeet)
Γλώσσα	Taal
Αγάπη	Liefde
Δικτατορία	Dictatuur
Γαλαξίες	Sterrenstelsel
Δίας (πλανήτης)	Jupiter (planeet)
Μιτσέλ Μπατσελέ	Michelle Bachelet
Γαλαξίας	Melkweg (sterrenstelsel)
Χλανβαϊρπουχγκουίνγκιλ	Llanfairpwll­gwyngyllgogerychwyrndrobwllllantysiliogogogoch
Μεγάλη Έκρηξη	Oerknal
Ουρανός (πλανήτης)	Uranus (planeet)
Βρετάνη	Bretagne (schiereiland)
Αγγλική Βικιπαίδεια	Engelstalige Wikipedia
Νικολά Σαρκοζί	Nicolas Sarkozy
Ποσειδώνας (πλανήτης)	Neptunus (planeet)
Αστρονομία	Astronomie
Σιγκαπούρη	Singapore
Επιστήμη	Wetenschap
Κοσμολογία	Kosmologie
Πλούτωνας (πλανήτης νάνος)	Pluto (dwergplaneet)
Μόντρεαλ	Montreal (Canada)
Ελεύθερο λογισμικό	Vrije software
Παναγία	Maria (moeder van Jezus)
Λουδοβίκος Θ΄ της Γαλλίας	Lodewijk IX van Frankrijk
Λίχτενσταϊν	Liechtenstein
Αθλητισμός	Sport
Κέιμπριτζ	Cambridge (Verenigd Koninkrijk)
Εθνικό Πάρκο Γιέλοουστοουν	Yellowstone National Park
Αδόλφος Χίτλερ	Adolf Hitler
Λευκή της Καστίλης	Blanca van Castilië
Facebook	Facebook
Google+	Google+
WikiLeaks	WikiLeaks
Τζούλιαν Ασάνζ	Julian Assange
Α΄ Παγκόσμιος Πόλεμος	Eerste Wereldoorlog
Β΄ Παγκόσμιος Πόλεμος	Tweede Wereldoorlog
Κολωνία	Keulen (stad)
Διαφθορά	Corruptie
Βικιβιβλία	Wikibooks
Αουγούστο Πινοσέτ	Augusto Pinochet
Βικιφθέγματα	Wikiquote
Βικιταξίδια	Wikivoyage
Βότκα	Wodka
Βάφλα	Wafel
Ρολόι	Klok (tijd)
Ubuntu	Ubuntu (Linuxdistributie)
Σκόπια	Skopje
Γκντίνια	Gdynia
Linux	Linux
Μπομπ Ντίλαν	Bob Dylan
Στσέτσιν	Szczecin
Μαθηματικά	Wiskunde
U2	U2 (band)
Λατινική γλώσσα	Latijn
Μπαχρέιν	Bahrein
Αρμενία	Armenië
Τζέννα Τζέημσον	Jenna Jameson
Σφηνοειδής γραφή	Spijkerschrift
Σωματίδιο Χιγκς	Higgsboson
Σερβία	Servië
Σελήνη	Maan
Κωνσταντινούπολη	Istanboel
Αυστραλία	Australië (land)
Μπομπ Μάρλεϊ	Bob Marley
Καρλ Σαγκάν	Carl Sagan
Βιοαστρονομία	Astrobiologie
Χρυσή Πλάκα του Πάιονηρ	Gouden plaat (Pioneerprogramma)
Φυσική	Natuurkunde
Αργεντινή	Argentinië
Τηλεπικοινωνίες	Telecommunicatie
Περού	Peru
Βιολογία	Biologie
ΑΤΙΑ	Unidentified flying object
Βόρεια Κορέα	Noord-Korea
Καμπότζη	Cambodja
Ζώνη του Κάιπερ	Kuipergordel
Κοράνιο	Koran
Δεινόσαυροι	Dinosauriërs
Ζωολογία	Zoölogie
Ισλάμ	Islam
Αχλάδι	Peer (plant)
Βιβλιοθήκη της Αλεξάνδρειας	Bibliotheek van Alexandrië
Λιουμπλιάνα	Ljubljana
Σαλβαδόρ Αγιέντε	Salvador Allende
Βοτανική	Plantkunde
Φυσική Ιστορία (Πλίνιος)	Naturalis historia
Λεχ Βαλέσα	Lech Wałęsa
Τροχός	Wiel (voortbeweging)
Εγκυκλοπαίδεια ή Λεξικό αλφαβητικά ταξινομημένο των τεχνών και των επαγγελμάτων	Encyclopédie
Ντενί Ντιντερό	Denis Diderot
Μουντάνεουμ	Mundaneum
Ειρήνη	Vrede
Εγκυκλοπαίδεια Μπριτάνικα	Encyclopædia Britannica
Λυών	Lyon
Ευρωπαϊκή Ένωση	Europese Unie
Φιλιππούπολη	Plovdiv (stad)
Internet Archive	Internet Archive
Ο Πόλεμος των Άστρων	Star Wars
Βικιπαίδεια:DBpedia	DBpedia
Παγκόσμιος Ιστός	Wereldwijd web
Γυναίκα	Vrouw
Σόφια	Sofia (stad)
Υδραγωγείο	Aquaduct (watergang)
Δον Κιχώτης	Don Quichot (boek)
Ποίηση	Poëzie
Megaupload	Megaupload
Ιός υπολογιστή	Computervirus
Πυρηνικό ατύχημα του Τσερνόμπιλ	Kernramp van Tsjernobyl
Ρίψη ατομικής βόμβας στη Χιροσίμα και το Ναγκασάκι	Atoombommen op Hiroshima en Nagasaki
Μιλάνο	Milaan (stad)
Φιλία	Vriendschap
Μνήμη	Geheugen (psychologie)
Αρθούρος Ρεμπώ	Arthur Rimbaud
Τορίνο	Turijn (stad)
Λεμόνι	Citroen (vrucht)
Σαρλ Μπωντλαίρ	Charles Baudelaire
Σταντάλ	Stendhal
Μπανάνα	Banaan (vrucht)
Εμίλ Ζολά	Émile Zola
666	666
Άνθος	Bloem (plant)
Γκούγκολ	Googol
Τάφρος των Μαριανών	Marianentrog
Βλαντίμιρ Βισότσκι	Vladimir Vysotski
Έβερεστ	Mount Everest
Ανατομία	Anatomie
Πόλη	Stad
Ναπολέων Α΄ της Γαλλίας	Napoleon Bonaparte
Όρος Όλυμπος (Άρης)	Olympus Mons
Φυσιολογία	Fysiologie
Αστέρας	Ster (hemellichaam)
Βεζούβιος	Vesuvius (vulkaan)
Ήλιος	Zon
Ουρανός	Hemelgewelf
Λουί Παστέρ	Louis Pasteur
Έτος φωτός	Lichtjaar
Χωριό	Dorp
Βίκτωρ Ουγκώ	Victor Hugo
Ωκεανία	Oceanië
Τζουζέπε Γκαριμπάλντι	Giuseppe Garibaldi
Ορβιέτο	Orvieto
Στίβος	Atletiek
Λογοκρισία	Censuur (informatie)
Ηλιακό σύστημα	Zonnestelsel
Βαλτική Θάλασσα	Oostzee
Τεργέστη	Triëst (stad)
Βιστούλας	Wisła (rivier)
Ψάρι μονομάχος	Siamese kempvis
Λεωφόρος Ηλυσίων Πεδίων	Avenue des Champs-Élysées
Όντερ	Oder
Υδρογόνο	Waterstof (element)
Πάττι Σμιθ	Patti Smith
Ήλιο	Helium
Δόντι	Tand (mens)
Κόλαση	Hel (mythologie)
Wikimedia Commons	Wikimedia Commons
Καθαρτήριο	Vagevuur
Άνγκελα Μέρκελ	Angela Merkel
Λίθιο	Lithium (element)
Βηρύλλιο	Beryllium
Ηχείο	Luidspreker
Βιβλίο	Boek (document)
Ημέρα	Dag
Ανατολικό Τιμόρ	Oost-Timor
Έτος	Jaar
Αιώνας	Eeuw
Λοτζ	Łódź (stad)
Λευκό Όρος	Mont Blanc
Ρήνος	Rijn
Όσλο	Oslo
Βόννη	Bonn
Άγιοι Πάντες	Allerheiligen
Κατοβίτσε	Katowice
Μαύρη τρύπα	Zwart gat
Λουίς δε Καμόες	Luís de Camões
Δήμητρα (πλανήτης νάνος)	Ceres (dwergplaneet)
Λισαβόνα	Lissabon
Χαουμέια	Haumea
Ροδανός	Rhône (rivier)
Μακεμάκε	Makemake
Άιονα	Iona (eiland)
Έρις (πλανήτης νάνος)	Eris (dwergplaneet)
Ντουμπάι	Dubai (emiraat)
Λιονέλ Μέσι	Lionel Messi
Πάντοβα	Padua (stad)
Βόριο	Boor (element)
Νικόλαος Κοπέρνικος	Nicolaas Copernicus
Βερσάιγ	Versailles
Λούντβιγκσμπουργκ	Ludwigsburg (stad)
Άνθρακας	Koolstof
Αλεσσάντρο Ντελ Πιέρο	Alessandro Del Piero
Βόλγας	Wolga
Άζωτο	Stikstof (element)
Μπέργκαμο	Bergamo (stad)
Οξυγόνο	Zuurstof (element)
ΦΚ Ιντερνατσιονάλε Μιλάνο	FC Internazionale Milano
Νηλ Γιανγκ	Neil Young
Πλανήτης	Planeet
Κλεοπάτρα Ζ΄ της Αιγύπτου	Cleopatra VII
Μουσική	Muziek
Βενετία	Venetië (stad)
Naruto	Naruto (manga)
Πάδος	Po (rivier)
Σαρμ ελ Σέιχ	Sharm-el-Sheikh
Νέβας	Neva
Θερμόμετρο	Thermometer
Ρεν	Rennes
Λιλ	Rijsel
Μόσχα	Moskou
Φθόριο	Fluor (element)
Ιταλική γλώσσα	Italiaans (taal)
Τσιουάουα (σκύλος)	Chihuahua (hond)
Νέον	Neon (element)
Τσιουάουα (πολιτεία)	Chihuahua (staat)
Αγία Πετρούπολη	Sint-Petersburg
Τσαντ	Tsjaad
Νάτριο	Natrium
Βορράς	Noord (windstreek)
Μαγνήσιο	Magnesium
Neon Genesis Evangelion	Neon Genesis Evangelion
Αργίλιο	Aluminium
Νέα Ζηλανδία	Nieuw-Zeeland
Νότος	Zuid
Ινδία	India
Πυρίτιο	Silicium
Φράγκιο	Francium
Τουβαλού	Tuvalu
One Piece	One Piece
Φωσφόρος	Fosfor
Αντρέ Μαρί Αμπέρ	André-Marie Ampère
Σίδηρος	IJzer (element)
Τόνγκα	Tonga (land)
Δύση	West
Αλεσάντρο Βόλτα	Alessandro Volta
Θείο	Zwavel
Σαμόα	Samoa
Ανατολή	Oost (windstreek)
Νήσοι Σολομώντα	Salomonseilanden
Βανουάτου	Vanuatu
Μολιέρος	Molière (schrijver)
Χλώριο	Chloor (element)
Ντελφτ	Delft
Παπούα Νέα Γουινέα	Papoea-Nieuw-Guinea
Ουίλλιαμ Σαίξπηρ	William Shakespeare
Παραμύθι	Fabel
Νότια Ολλανδία	Zuid-Holland
Παλάου	Palau (land)
Αργό	Argon
Ναουρού	Nauru
Mozilla Firefox	Mozilla Firefox
Βόρεια Ολλανδία	Noord-Holland
Ομόσπονδες Πολιτείες της Μικρονησίας	Micronesia
Κάλιο	Kalium
Ολιμπίκ Λυών	Olympique Lyonnais
Ζηλανδία (επαρχία)	Zeeland (provincie)
Ασβέστιο	Calcium
Φλέβολαντ	Flevoland
Μόλυβδος	Lood (element)
Νήσοι Μάρσαλ	Marshalleilanden
Κιριμπάτι	Kiribati
Μογγολία	Mongolië
Φίτζι	Fiji
Σκάνδιο	Scandium
Στίβι Γουόντερ	Stevie Wonder
Χαϊλμπρόν	Heilbronn (stad)
Τιτάνιο	Titanium
Βενεζουέλα	Venezuela
Σκάκι	Schaken
Τζένγκις Χαν	Dzjengis Khan
Βανάδιο	Vanadium
Μέιν	Maine
Χρώμιο	Chroom (element)
Άλογο	Paard (dier)
Άμστερνταμ	Amsterdam
Όπλο	Gevechtswapen
Ζώο	Dierenrijk
Σουρινάμ	Suriname
Μαγγάνιο	Mangaan
Παραγουάη	Paraguay
Γουιάνα	Guyana
Τέχνη	Kunst
Ισημερινός (χώρα)	Ecuador
Ρήνιο	Renium
Κολομβία	Colombia
Κοβάλτιο	Kobalt
Ρακίνας	Jean Racine
Βολφράμιο	Wolfraam
Νικέλιο	Nikkel
Φράουλα	Aardbei
Πιερ Κορνέιγ	Pierre Corneille
Βουδισμός	Boeddhisme
Χρόνινγκεν (πόλη)	Groningen (stad)
Βολιβία	Bolivia
Όσμιο	Osmium
Χρόνινγκεν (επαρχία)	Groningen (provincie)
Χαλκός	Koper (element)
Τρινιντάντ και Τομπάγκο	Trinidad en Tobago
Πολ Βερλαίν	Paul Verlaine
Φυτό	Planten
Άγιος Βικέντιος και Γρεναδίνες	Saint Vincent en de Grenadines
Ψευδάργυρος	Zink (element)
Νιου Χάμσαϊρ	New Hampshire
Αγία Λουκία	Saint Lucia
Μπιάλιστοκ	Białystok
Λεονάρντο ντα Βίντσι	Leonardo da Vinci
Άγιος Χριστόφορος και Νέβις	Saint Kitts en Nevis
Μύκητας	Schimmels
Ντάριο Φο	Dario Fo
Τζαμάικα	Jamaica
Γρενάδα	Grenada
Φρίσλαντ	Friesland
Μασαχουσέτη	Massachusetts
Ντρέντε	Drenthe
Οφεράισσελ	Overijssel
Γουατεμάλα	Guatemala
Χέλντερλαντ	Gelderland
Ουτρέχτη (επαρχία)	Utrecht (provincie)
Google Chrome	Google Chrome
Μπαχάμες	Bahama's
Κονέκτικατ	Connecticut
Όρνιθα	Kip (vogel)
Αντίγκουα και Μπαρμπούντα	Antigua en Barbuda
Χαβάη	Hawaï
Ονδούρα	Honduras
Δομινίκα	Dominica
Τζέρσεϊ	Jersey (eiland)
Δομινικανή Δημοκρατία	Dominicaanse Republiek
Οικόσιτος χοίρος	Varken (tam)
Αρκτικός Ωκεανός	Noordelijke IJszee
Αϊτή	Haïti
Ελ Σαλβαδόρ	El Salvador
Ιράν	Iran
Ιράκ	Irak
Αλάσκα	Alaska
Άσσεν	Assen
Σοφία	Wijsheid (deugd)
Κόστα Ρίκα	Costa Rica
Ισραήλ	Israël
Ουτρέχτη (πόλη)	Utrecht (stad)
Παναμάς	Panama (land)
Υεμένη	Jemen
Ράντσταντ	Randstad (gebied)
Λωζάνη	Lausanne (stad)
Ιός	Virus (biologie)
Πολωνική γλώσσα	Pools
Ιορδανία	Jordanië
Νικαράγουα	Nicaragua
Φλόριντα	Florida (staat)
Κιργιζία	Kirgizië
Αριζόνα	Arizona (staat)
Κουβέιτ	Koeweit
Λάος	Laos
Λίβανος	Libanon
Όρεγκον	Oregon
Μαλδίβες	Maldiven
Αμερική	Amerika (continent)
Γιούτα	Utah
Βους ο ταύρος	Rund
Μαλαισία	Maleisië
Μιχαήλ Μπουλγκάκοφ	Michail Boelgakov
Μιανμάρ	Myanmar
Νεπάλ	Nepal
Αντρέι Ρουμπλιόφ	Andrej Roebljov (schilder)
Ομάν	Oman
Πακιστάν	Pakistan
Τζέιμς Μποντ	James Bond
Κατάρ	Qatar
Αντισφαίριση	Tennis
Φρανσουά Βιγιόν	François Villon
MySQL	MySQL
Σαουδική Αραβία	Saoedi-Arabië
Αντρέι Ταρκόφσκι	Andrej Tarkovski
Σρι Λάνκα	Sri Lanka
Ιωσήφ Στάλιν	Jozef Stalin
Ραβδωτός κώδικας	Streepjescode
Συρία	Syrië
Πλάτων	Plato
Γάλλιο	Gallium
Γιόζεφ Μπρόντσκι	Joseph Brodsky
Τατζικιστάν	Tadzjikistan
Πόκεμον	Pokémon
Δημοκρατία της Κίνας	Taiwan
YouTube	YouTube
Γερμάνιο	Germanium
Αριστοτέλης	Aristoteles
Ταϊλάνδη	Thailand
Τρένο	Trein
Αρσενικό (χημικό στοιχείο)	Arseen
Ραδιόφωνο	Radio
Μέριλ Στριπ	Meryl Streep
Τουρκμενιστάν	Turkmenistan
Αμπακάν	Abakan (stad)
Σελήνιο	Seleen
Ιρίδιο	Iridium (element)
Ηνωμένα Αραβικά Εμιράτα	Verenigde Arabische Emiraten
Βρώμιο	Broom (element)
Λευκόχρυσος	Platina
Βιετνάμ	Vietnam
Τσάρλι Τσάπλιν	Charlie Chaplin
Νοβοσιμπίρσκ	Novosibirsk
Νότια Κορέα	Zuid-Korea
Γιόζεφ Πιλσούντσκι	Józef Piłsudski
Οι Σίμσονς	The Simpsons
Αικατερινούπολη	Jekaterinenburg
Κρυπτό	Krypton (element)
Αφγανιστάν	Afghanistan
Gangnam Style	Gangnam Style
Νίζνι Νόβγκοροντ	Nizjni Novgorod
Tζ. Ρ. Ρ. Τόλκιν	J.R.R. Tolkien
Λεμονάδα	Limonade (drank)
Σαμάρα (Ρωσία)	Samara (stad)
Ρουβίδιο	Rubidium
Χρυσός	Goud
Ομσκ	Omsk
Διώρυγα Σουέζ	Suezkanaal
Καζάν	Kazan (stad)
Επιστήμονας	Wetenschapper
Μπανγκλαντές	Bangladesh
Έρτα Άλε	Erta Ale
Bleach (μάνγκα)	Bleach (manga)
Φραντς Κάφκα	Franz Kafka
Τσελιάμπινσκ	Tsjeljabinsk
Ροστόφ επί του Ντον	Rostov aan de Don
Χόρχε Λουίς Μπόρχες	Jorge Luis Borges
Μάλι	Mali
Σωκράτης	Socrates (filosoof)
Βόλγκογκραντ	Wolgograd
Ανγκόλα	Angola
Περμ	Perm (stad)
Μπουτάν	Bhutan
Twitter	Twitter
Κρασνογιάρσκ	Krasnojarsk
Μπρουνέι	Brunei
Μπρατς	Brač
Αλέξανδρος (όνομα)	Alexander (voornaam)
Τανζανία	Tanzania
Υδράργυρος	Kwik
Ρόαλντ Αμούνδσεν	Roald Amundsen
Χάρι Μούλις	Harry Mulisch
Φιλιππίνες	Filipijnen
Κεντροαφρικανική Δημοκρατία	Centraal-Afrikaanse Republiek
Κονσταντίν Μελνίκοφ	Konstantin Melnikov
Uzumaki Naruto	Naruto Uzumaki
Θάλλιο	Thallium
Νότιος Πόλος	Zuidpool
Βόρειος Πόλος	Noordpool
Ισαάκ Νεύτων	Isaac Newton
OpenStreetMap	OpenStreetMap
Άλμπερτ Αϊνστάιν	Albert Einstein
Στρόντιο	Strontium
Πέτρος Α΄ της Βραζιλίας	Peter I van Brazilië
Ύττριο	Yttrium
Βισμούθιο	Bismut
Κίτρινο	Geel (kleur)
Κβαντική μηχανική	Kwantummechanica
Τόγκο	Togo
Ντόναλντ Τουσκ	Donald Tusk
Τυνησία	Tunesië
Τζον Μπαρντίν	John Bardeen
Ζάμπια	Zambia
Ζιμπάμπουε	Zimbabwe
Άαρντενμπουργκ	Aardenburg (stad)
Πεκίνο	Peking
Νότιο Σουδάν	Zuid-Soedan
Βλαδιβοστόκ	Vladivostok
Δημοκρατία της Τιβά	Toeva
Μπενίν	Benin
Μποτσουάνα	Botswana
Βικινέα	Wikinews
Μπουρκίνα Φάσο	Burkina Faso
Μπουρούντι	Burundi
Κομόρες	Comoren
Δημοκρατία του Κονγκό	Congo-Brazzaville
Άλκμααρ	Alkmaar (gemeente)
Ποταμός Ομπ	Ob (rivier)
Λαϊκή Δημοκρατία του Κονγκό	Congo-Kinshasa
Σαν Αντόνιο	San Antonio (Texas)
Τομσκ	Tomsk
Τζιμπουτί	Djibouti (land)
Μιμίδιο	Meme (memetica)
Πολώνιο	Polonium
Βαυαρία	Beieren
Ισημερινή Γουινέα	Equatoriaal-Guinea
Βάδη-Βυρτεμβέργη	Baden-Württemberg
Ερυθραία	Eritrea
Νέο Δελχί	New Delhi
Άλμελο	Almelo
Πάπας Ιωάννης Παύλος Β΄	Paus Johannes Paulus II
Φιοντόρ Ντοστογιέφσκι	Fjodor Dostojevski
Αμερσφόρτ	Amersfoort
Χερσόνησος Καμτσάτκα	Kamtsjatka (schiereiland)
Τιφλίδα	Tbilisi
Αντρέι Ζαχάρωφ	Andrej Sacharov
Άστατο	Astaat
Γκαμπόν	Gabon
Μαχάτμα Γκάντι	Mohandas Karamchand Gandhi
Αλληλεγγύη (συνδικάτο της Πολωνίας)	Solidarność
Κόμικς	Stripverhaal
Γκάμπια	Gambia (land)
Γουινέα	Guinee
Γουινέα-Μπισσάου	Guinee-Bissau
Ακτή Ελεφαντοστού	Ivoorkust
Καμερούν	Kameroen
