ئافرىقا	Afrika
Warshawa	Warschau
ياۋروۋىزىيون ناخشا مۇسابىقىسى	Eurovisiesongfestival
تېلېۋىزور	Televisie
ئىسلاندىيە تىلى	IJslands
چىلى	Chili
ئەيسا مەسىھ	Jezus (traditioneel-christelijk)
گالىلېي	Galileo Galilei
مېركۇرىي	Mercurius (planeet)
تارىخ	Geschiedenis
ئالما شىركىتى	Apple Inc.
ۋېنېرا	Venus (planeet)
مۇھاببەت	Liefde
يۇپىتېر	Jupiter (planeet)
سامان يولى سىستىمېسى	Melkweg (sterrenstelsel)
ئۇران (پلانىت)	Uranus (planeet)
نىكولا ساركوزى	Nicolas Sarkozy
نېپتۇن	Neptunus (planeet)
ئاسترونومىيە	Astronomie
سىنگاپور	Singapore
پلۇتون	Pluto (dwergplaneet)
Montréal	Montreal (Canada)
لىختېنشتېين	Liechtenstein
Kambrij	Cambridge (Verenigd Koninkrijk)
Facebook	Facebook
بىرىنچى دۇنيا ئۇرۇشى	Eerste Wereldoorlog
Kolon	Keulen (stad)
سكوپليې	Skopje
Shchétsin	Szczecin
لاتىن تىلى	Latijn
بەھرېيىن	Bahrein
ئەرمېنىيە	Armenië
سېربىيە	Servië
Istanbul	Istanboel
ئاۋستىرالىيە	Australië (land)
فىزىكا	Natuurkunde
ئارگېنتىنا	Argentinië
پېرۇ	Peru
بىئولوگىيە	Biologie
شىمالىي چاۋشيەن	Noord-Korea
كامبوجا	Cambodja
قۇرئان كەرىم	Koran
دىنوزاۋر	Dinosauriërs
ئىسلام دىنى	Islam
ليۇبليانا	Ljubljana
Lion	Lyon
ياۋروپا ئىتتىپاقى	Europese Unie
سوفىيە	Sofia (stad)
شېئىر	Poëzie
Milan	Milaan (stad)
Turin	Turijn (stad)
سوڭ	Anus (anatomie)
ئېۋېرېست	Mount Everest
ﻧﺎﭘﻮﻟﯧﺌﻮﻥ ﺑﻮﻧﺎﭘﺎﺭﺕ	Napoleon Bonaparte
ۋېزۇۋىي	Vesuvius (vulkaan)
قۇياش	Zon
قۇياش سىستېمىسى	Zonnestelsel
ھىدروگېن	Waterstof (element)
گېلىي	Helium
چىش	Tand (mens)
لىتىي	Lithium (element)
بېرىللىي	Beryllium
شەرقىي تىمور	Oost-Timor
ئوسلو	Oslo
Bonn	Bonn
سېرېرا	Ceres (dwergplaneet)
لىسبون	Lissabon
ئېرىدا	Eris (dwergplaneet)
دۇبائى	Dubai (emiraat)
بور	Boor (element)
Wérsayl	Versailles
كاربون	Koolstof
ۋولگا دەرياسى	Wolga
ئازوت	Stikstof (element)
ئوكسىگېن	Zuurstof (element)
مۇزىكا	Muziek
Wénitsiye	Venetië (stad)
Rénn Shehiri	Rennes
Lil	Rijsel
Moskwa	Moskou
فىتور	Fluor (element)
ئىتاليان تىلى	Italiaans (taal)
نىئون گازى	Neon (element)
Sankt-Pétérburg	Sint-Petersburg
چاد	Tsjaad
ناترىي	Natrium
ماگنىي	Magnesium
ئاليۇمىن	Aluminium
يېڭى زېلاندىيە	Nieuw-Zeeland
ھىندىستان	India
سىلىتسىي	Silicium
فرانسىي	Francium
Tuwalu	Tuvalu
فوسفور	Fosfor
تۆمۈر	IJzer (element)
Ton’ga	Tonga (land)
گۈڭگۈرت	Zwavel
ساموئا	Samoa
سولومون تاقىم ئاراللىرى	Salomonseilanden
ۋانۇئاتۇ	Vanuatu
خلور گازى	Chloor (element)
پاپۇئا يېڭى گۋىنېيە	Papoea-Nieuw-Guinea
پالاۋ	Palau (land)
ئارگون	Argon
ناۋرۇ	Nauru
مىكرونېزىيە فېدېراتسىيىسى	Micronesia
كالىي	Kalium
كالتىسىي	Calcium
قوغۇشۇن	Lood (element)
مارشال تاقىم ئاراللىرى	Marshalleilanden
كىرىباتى	Kiribati
موڭغۇلىيە	Mongolië
فىجى	Fiji
سكاندىي	Scandium
تىتان	Titanium
ۋېنېسۇئېلا	Venezuela
چىڭگىزخان	Dzjengis Khan
ۋانادىي	Vanadium
Méané Shitati	Maine
خروم	Chroom (element)
ئات	Paard (dier)
ئامستېردام	Amsterdam
ھايۋانات	Dierenrijk
سۇرىنام	Suriname
مانگان	Mangaan
پاراگۋاي	Paraguay
گايانا	Guyana
ئېكۋادور	Ecuador
رېنىي	Renium
كولومبىيە	Colombia
كوبالت	Kobalt
ۋولفرام	Wolfraam
نىكېل	Nikkel
بۇددا دىنى	Boeddhisme
بولىۋىيە	Bolivia
مىس	Koper (element)
ترىنىداد ۋە توباگو	Trinidad en Tobago
سېنت ۋىنسېنت ۋە گرېنادىن ئاراللىرى	Saint Vincent en de Grenadines
سىنك	Zink (element)
Yéngi Xampishir Shitati	New Hampshire
سېنت ليۇسىيە	Saint Lucia
داۋېىنچى	Leonardo da Vinci
سېنت كىتس ۋە نېۋىس	Saint Kitts en Nevis
زەمبۇرۇغ	Schimmels
يامايكا	Jamaica
گرېنادا	Grenada
Massachuséts Shitati	Massachusetts
گۋاتېمالا	Guatemala
باھاما	Bahama's
Konnéktikat Shitati	Connecticut
ئانتىگۇئا ۋە باربۇدا	Antigua en Barbuda
Haway Shitati	Hawaï
ھوندۇراس	Honduras
دومىنىكا	Dominica
دومىنىكان جۇمھۇرىيەتى	Dominicaanse Republiek
ھايتى	Haïti
ئەل سالۋادور	El Salvador
ئىران	Iran
ئىراق	Irak
Alyaska Shitati	Alaska
كوستارىكا	Costa Rica
ئىسرائىلىيە	Israël
پاناما	Panama (land)
يەمەن	Jemen
پولەك تىلى	Pools
ئىئوردانىيە	Jordanië
نىكاراگۇئا	Nicaragua
Florida Shitati	Florida (staat)
قىرغىزىستان	Kirgizië
Arizona Shitati	Arizona (staat)
كۇۋەيت	Koeweit
لائوس	Laos
لىۋان	Libanon
Orégon Shitati	Oregon
مالدىۋ ئاراللىرى	Maldiven
ئامېرىكا قىتئەسى	Amerika (continent)
Yuta Shitati	Utah
مالايسىيا	Maleisië
بىرما	Myanmar
نېپال	Nepal
ئومان	Oman
پاكىستان	Pakistan
قاتار	Qatar
سەئۇدى ئەرەبىستان	Saoedi-Arabië
سرىلانكا	Sri Lanka
ستالىن	Jozef Stalin
سۇرىيە	Syrië
بىراتۇ	Plato
گاللىي	Gallium
تاجىكىستان	Tadzjikistan
تەيۋەن	Taiwan
گېرمانىي	Germanium
تايلاند	Thailand
ئارسېن	Arseen
تۈركمەنىستان	Turkmenistan
سېلېن	Seleen
ئەرەب بىرلەشمە خەلىپىلىكى	Verenigde Arabische Emiraten
بروم	Broom (element)
Platina	Platina
ۋيېتنام	Vietnam
Nowosibirski	Novosibirsk
جەنۇبىي چاۋشيەن	Zuid-Korea
كرىپتون	Krypton (element)
ئافغانىستان	Afghanistan
رۇبىدىي	Rubidium
ئالتۇن	Goud
قازان	Kazan (stad)
بانگلادېش	Bangladesh
مالى	Mali
ئانگولا	Angola
بۇتان	Bhutan
برۇنېي	Brunei
تانزانىيە	Tanzania
فىلىپپىن	Filipijnen
ئوتتۇرا ئافرىقا جۇمھۇرىيىتى	Centraal-Afrikaanse Republiek
جەنۇبى قۇتۇپ	Zuidpool
شىمالى قۇتۇپ	Noordpool
ئىسساك نيوتۇن	Isaac Newton
ئالبېرىت ئېينىشتېين	Albert Einstein
سترونتسىي	Strontium
ئىتترىي	Yttrium
ۋىسمۇت	Bismut
سېرىق رەڭ	Geel (kleur)
توگو	Togo
تۇنىس	Tunesië
زامبىيە	Zambia
زىمبابۋې	Zimbabwe
بېيجىڭ شەھىرى	Peking
تۇۋا	Toeva
بېنىن	Benin
بوتسۋانا	Botswana
بۇركىنا فاسو	Burkina Faso
بۇرۇندى	Burundi
كومور ئاراللىرى	Comoren
كونگو جۇمھۇرىيىتى	Congo-Brazzaville
كونگو دېموكراتىك جۇمھۇرىيىتى	Congo-Kinshasa
San Antonio	San Antonio (Texas)
جىبۇتى	Djibouti (land)
پولونىي	Polonium
ئېكۋاتور گۋىنېيىسى	Equatoriaal-Guinea
ئېرىترېيە	Eritrea
Yéngi Déhli	New Delhi
تبىلىسى	Tbilisi
ئاستاتىن	Astaat
گابون	Gabon
گامبىيە	Gambia (land)
ۋىنېيە	Guinee
گۋىنېيە بىسسائۇ	Guinee-Bissau
پىل چىشى قىرغىغى	Ivoorkust
كامېرۇن	Kameroen
يېشىل تۇمشۇق ئاراللىرى	Kaapverdië
لېسوتو	Lesotho
لىبېرىيە	Liberia
لىۋىيە	Libië
ماداگاسكار	Madagaskar
مالاۋى	Malawi
Shtutgart	Stuttgart
ماۋرىتانىيە	Mauritanië
ماۋرىتىئۇس	Mauritius (land)
ماراكەش	Marokko
موزامبىك	Mozambique
نامىبىيە	Namibië
نىگېر	Niger (land)
نىگېرىيە	Nigeria
دارۋىن	Charles Darwin
ئۇگاندا	Oeganda
رۋاندا	Rwanda
سىركونىي	Zirkonium
San Tomé we Prinsipé	Sao Tomé en Principe
سېنېگال	Senegal
سېيشېل ئاراللىرى	Seychellen
سيېررا لېئونې	Sierra Leone
سومالى	Somalië
نىئوبىي	Niobium
جولیس سیزر	Julius Caesar
سۇدان	Soedan
سۋازىلېند	Swaziland
مولبېدىن	Molybdeen
تېخېتىسىي	Technetium
Hamburg	Hamburg
گۇجارات	Gujarat
بىرلەشكەن دۆلەتلەر تەشكىلاتى	Verenigde Naties
گېئولوگىيە	Geologie
Exmetabad	Ahmedabad (stad)
يۈرەك	Hart
تېرە	Huid
پراگا	Praag
كۆك رەڭ	Blauw (kleur)
كۈمۈش	Zilver
قەلەي	Tin (element)
ئۇران	Uranium
سۈرمە	Antimoon
پلوتونىي	Plutonium
نېپتونىي	Neptunium
كسېنون	Xenon
سېزىي	Cesium
پروتاكتىنىي	Protactinium
بارىي	Barium
تورىي	Thorium
گافنىي	Hafnium
ئاكتىنىي	Actinium
تانتال	Tantaal
بىل كلىنتون	Bill Clinton
رادىي	Radium
رادون	Radon (element)
Bombay	Bombay
Michigan Shitati	Michigan
پوئېرتو رىكو	Puerto Rico
Illinoyiz Shitati	Illinois (staat)
Shimaliy Dakota Shitati	North Dakota
لومبارد	Lombardije
Jenubiy Dakota Shitati	South Dakota
Montana Shitati	Montana (staat)
Wyoming Shitati	Wyoming
قۇدس	Jeruzalem
Aydaxo Shitati	Idaho
Washin'giton Shitati	Washington (staat)
رۇزېرفوردىي	Rutherfordium
Néwada shitati	Nevada (staat)
دۇبنىي	Dubnium
سىبورگىي	Seaborgium
بوھرىي	Bohrium
ھاسسىي	Hassium
مېيتنېرىي	Meitnerium
Kolorado Shitati	Colorado (staat)
دارمستادتىي	Darmstadtium
رۆنتگېنىي	Röntgenium
كوپېرنىي	Copernicium
تۈر:تۈرلەر يولباشچىسى	Categorie:Alles
ئاپېنىن تاغ تىزمىسى	Apennijnen
ئالپ تاغلىرى	Alpen
پاسكال	Blaise Pascal
Gant	Gent
Chikago	Chicago
ئۇنۇنترىي	Ununtrium
فلېروۋىي	Flerovium
ئۇنۇنپېنتىي	Ununpentium
لىۋىرمورىي	Livermorium
ئۇنۇنسېپتىي	Ununseptium
ئۇنۇنئوكتىي	Ununoctium
Arném	Arnhem
ئىسپان تىلى	Spaans
مونتېۋىدېئو	Montevideo (stad)
Filadélfiye	Philadelphia (Pennsylvania)
Kalkutta	Calcutta
Déhli	Delhi (stad)
داكا	Dhaka (stad)
Ban'galor	Bangalore
Ömüchük	Spinnen (dieren)
ئىسلامئاباد	Islamabad
ظاصتاص يئضةن مئؤة	Vrucht (plant)
Wirginiye Shitati	Virginia (staat)
غەربىي ۋىرگىنىيە شىتاتى	West Virginia
Nyuyork Shitati	New York (staat)
سېرىي	Cerium
پرازېئودىمىي	Praseodymium
Rodé Arili Shitati	Rhode Island (staat)
نېئودىي	Neodymium
Maryland Shitati	Maryland
Délawiyer Shitati	Delaware
يېۋروپىي	Europium
Oxayo Shtati	Ohio (staat)
Pénsilwaniye Shitati	Pennsylvania
Yéngi Jérséy Shtati	New Jersey
فىنلاندىيە تىلى	Fins
Indiyanna Shitati	Indiana
ئاپتوموبىل	Auto
Giorgiye Shitati	Georgia (staat)
Zagréb	Zagreb
Téksas Shitati	Texas (staat)
Jenubiy Karolina Shitati	South Carolina
سىتسىلىيە	Sicilië
مانىلا	Manilla
ساردىنىيە ئارىلى	Sardinië
Bordo	Bordeaux (stad)
Buénos Ayrés	Buenos Aires (stad)
مېكسىكا شەھىرى	Mexico-Stad
توكيو	Tokio
Barsélona	Barcelona (Spanje)
Missisipi Shitati	Mississippi (staat)
Ténnéssi Shitati	Tennessee
Astana	Astana (stad)
Yéngi Méksika Shitati	New Mexico
ئافېنا	Athene (stad)
Minnésota Shitati	Minnesota
باغداد	Bagdad
Karakas	Caracas
Wiskonsin Shitati	Wisconsin
Puna	Poona (stad)
AC مىلان	AC Milan
Lowa Shitati	Iowa (staat)
Nébraska Shitati	Nebraska
گۋاتېمالا شەھىرى	Guatemala-Stad
Kanzas Shitati	Kansas (staat)
ھىندى تىلى	Hindi
ماراتىچە	Marathi (taal)
Missori Shitati	Missouri (staat)
Loyizanna Shitati	Louisiana (staat)
Kéntukki Shitati	Kentucky
Arkanzas Shtati	Arkansas (staat)
ئوردو تىلى	Urdu
Oklaxoma Shitati	Oklahoma
Potsdam	Potsdam
Hanofér	Hannover (stad)
Myunxén	München
Drézdén	Dresden
ۋالىبول	Volleybal
Wyéna	Wenen
Kopénhagén	Kopenhagen
Stokgolm	Stockholm
Xélsinki	Helsinki
دۇبلىن	Dublin
رېيكياۋىك	Reykjavik
Tallin	Tallinn
رىگا	Riga
براتىسلاۋا	Bratislava
Budapésht	Boedapest
Danzig	Gdańsk
Frankfort	Frankfurt am Main
Wroklaw	Wrocław
لانتان	Lanthaan
جۈي	Promethium
چالغا	Samarium
گادولنىي	Gadolinium
تېربىي	Terbium
Katolik dini	Katholicisme
ليۇكسېمبۇرگ شەھىرى	Luxemburg (stad)
دىسپروزىي	Dysprosium
ۋادۇز	Vaduz
ئىنجىل	Bijbel (christendom)
گولمىي	Holmium
ئېربىي	Erbium
فنوم پېن	Phnom Penh
تۇلىي	Thulium
سايگون	Ho Chi Minhstad
ئىتتېربىي	Ytterbium
لۇتېتسىي	Lutetium
خانوي	Hanoi
ھەقىقى ئەيسا چېركاۋى	Ware Jezuskerk
ئىنگىلىز تىلى	Engels
Bangkok	Bangkok
ئاندوررا كەنتى	Andorra la Vella
كۇئالالۇمپۇر	Kuala Lumpur
تەيبېي شەھىرى	Taipei (stad)
ئامېرىتسىي	Americium
كىيۇرىي	Curium
Concepción, Chile	Concepción (Chili)
بېركېلىي	Berkelium
كالىفورنىي	Californium
ئېينشتېينىي	Einsteinium
فېرمىي	Fermium
مېندېلېيېۋىي	Mendelevium
كىيېۋ	Kiev
نوبېلىي	Nobelium
لاۋرېنسىي	Lawrencium
كارېلىيە	Karelië (deelrepubliek)
Ottawa	Ottawa (stad)
Manitoba Ölkisi	Manitoba
Albérta	Alberta
Nowa Skotiye Ölkisi	Nova Scotia
يېرېۋان	Jerevan
دارېسسالام	Dar es Salaam (stad)
خارتۇم	Khartoem
Yéngi Brunswik Ölkisi	New Brunswick
Britani Kolumbiye	Brits-Columbia
Saskachéwan	Saskatchewan
Néwfundland Ölkisi	Newfoundland en Labrador
Gherbiy Shimal Rayoni	Northwest Territories
Yukon Rayoni	Yukon (territorium)
Florénsa	Florence (stad)
Ésén	Essen (Noordrijn-Westfalen)
كومى	Komi (deelrepubliek)
Léypzig	Leipzig
Nyurnbérg	Neurenberg
Édmonton	Edmonton
Man'géym	Mannheim
Wiktoriye, Britani Kolumbiye	Victoria (Canada)
Winnipég	Winnipeg
Halifaks	Halifax (Nova Scotia)
Kwébék Shehiri	Quebec (stad)
ئېلېكترون	Elektron
Birmin'gxam	Birmingham (Verenigd Koninkrijk)
مىنىسكى	Minsk
مىكروسوفىت شىركىتى	Microsoft
پروتون	Proton (deeltje)
Kurow	Kurów (powiat Puławski)
Naplés	Napels (stad)
Braunshwéyg	Braunschweig (stad)
Madrid	Madrid (stad)
سۇ ئاستى كېمىسى	Onderzeeboot
مايكېل جېكسۇن	Michael Jackson
Bogota	Bogota (stad)
لىما	Lima (stad)
Santiyago	Santiago (Chili)
كىتو	Quito
سۇكرې	Sucre (Bolivia)
ئاسۇنسىئون	Asuncion (stad)
Öçke	Geit
Héydélbérg	Heidelberg (Duitsland)
كاتماندۇ	Kathmandu (stad)
سان خوسې (كوستارىكا)	San José (Costa Rica)
سان سالۋادور	San Salvador (stad)
Kanbérra	Canberra
Sidnéy	Sydney
يېشىل رەڭ	Groen (kleur)
Mélburn	Melbourne
قىزىل رەڭ	Rood (kleur)
ماناگۇئا	Managua (stad)
رابات	Rabat (Marokko)
قۇيرۇقلۇق يۇلتۇز	Komeet
ئالجىر	Algiers
تۇنىس شەھىرى	Tunis
ترىپولى	Tripoli (Libië)
تېھران	Teheran
جاكارتا	Jakarta
Enqere	Ankara
رىياد	Riyad (stad)
بېلگراد	Belgrado
ئادىگېيە	Adygea
پرايا	Praia
دەمەشىق	Damascus
يامۇسسۇكرو	Yamoussoukro
فرانسىيىگە قاراشلىق گۋىئانا	Frans-Guyana
لومې	Lomé
ئاممان	Amman (stad)
بېيرۇت	Beiroet
مۇسكات	Masqat
نىكوسىيە	Nicosia (Cyprus)
دوھا	Doha
نايروبى	Nairobi
لۇساكا	Lusaka (stad)
ئامازون	Amazon.com
قۇياش تۇتۇلۇشى	Zonsverduistering
كامپالا	Kampala
Mektep	School (instelling)
ھارارې	Harare
Prétoriye	Pretoria
Astiraxan	Astrachan
Tiktak top	Tafeltennis
Wikipedia:Sandbox	Wikipedia:Zandbak
قالماقىستان	Kalmukkië
Osasko	Osasco (Brazilië)
Glasgow	Glasgow
Kuritiba	Curitiba (gemeente)
Orman	Bos (vegetatie)
بوغاز كۆۋرۈكى	Bosporusbrug
كۇڭزى	Confucius
كوربين بيلو	Corbin Bleu
Surat	Surat (India)
ياۋرۇ	Euro
ئامېرىكا دولىرى	Amerikaanse dollar
يەر ئوتتۇرا دېڭىزى	Middellandse Zee
خاڭجۇ شەھىر	Hangzhou
مەسىھچىلىك	Christendom
قېلىپ:ئاسىيا	Sjabloon:Navigatie landen Azië
Séatl	Seattle
Baltimor	Baltimore (Maryland)
ئادېلايدې	Adelaide (Australië)
داغىستان	Dagestan
Monzón	Monzón
گۇجارات تىل	Gujarati (taal)
پورتۇگال تىلى	Portugees
مۇستاپا كامال	Mustafa Kemal Atatürk
چېچېنىيە	Tsjetsjenië
كۋېچۇئا تىلى	Quechua (taal)
ئىنگۇشېتىيە	Ingoesjetië
شىمالىي ئوسېتىيە	Noord-Ossetië
كاباردىنو-بالقارىستان	Kabardië-Balkarië
ئالماس	Diamant
ياپون تىلى	Japans
Énsklopédiye	Encyclopedie
ئۇيغۇرچە ۋىكىپىدىيە	Hoofdpagina
Latex	LaTeX
كوندېنساتور	Condensator
قاراچاي-چېركېسىيە	Karatsjaj-Tsjerkessië
موردوۋىيە	Mordovië
ۋاسكېتبول	Basketbal
چاڭجياڭ دەرياسى	Jangtsekiang
ئۇدمۇرتىيە	Oedmoertië
مارى	Mari El
ھىمالايا تاغ تىزمىسى	Himalaya
ئاند تاغلىرى	Andes
قىيىلىق تاغلار	Rocky Mountains
Kapétown	Kaapstad
چۇۋاشىيە	Tsjoevasjië
تەڭرىتاغ	Tiensjan
كاۋكاز تاغ تىزمىسى	Kaukasus (gebergte)
تاتارىستان	Tatarije
1279-يىلى	1279
ۋېىنىست	Vincent van Gogh
باشقۇرتىستان	Basjkirostan
Semerqend	Samarkand (plaats)
Buxara	Buchara (stad)
بېتلېخېم	Bethlehem
Andalusiye	Andalusië
كايمان تاقىم ئاراللىرى	Kaaimaneilanden
Kordowa	Córdoba (Spanje)
شىئەن شەھىرى	Xi'an
كابۇل	Kabul (stad)
لاسا شەھىرى	Lhasa
غىلاپ	Vagina
تامىل تىلى	Tamil
پەلسەپە	Filosofie
ئالەم ئايرۇپىلانى	Ruimtevaart
ئالتاي تاغ تىزمىسى	Altaj (gebergte)
تۈر:Candidates for speedy deletion	Categorie:Wikipedia:Nuweg
ئالتاي	Altaj (deelrepubliek)
پىئانىنو	Piano (instrument)
Hebe Camargo	Hebe Camargo
Portland, Orégon	Portland (Oregon)
ئانارخىزم	Anarchisme
لىبېرالىزىم	Liberalisme
فاشىسىت	Fascisme
مىللەتچىلىك	Nationalisme
غەربىي ساھارا	Westelijke Sahara
ھىلاري كلىنتون	Hillary Clinton
خاكاسىيە	Chakassië
Strasburg	Straatsburg
ياكۇتىيە	Jakoetië
كرودىيە تىلى	Kroatisch
گائۇس	Carl Friedrich Gauss
بۇرياتىيە	Boerjatië
جامىس جويىس	James Joyce
كاتالان تىلى	Catalaans (taal)
Burχa	Boeddha (verlichte)
دىنسىزلىق	Atheïsme
لى بەي	Li Bai
دۇنيا بانكىسى	Wereldbank
كونسېرۋاتىپ	Conservatisme
شىمالىي ئاتلانتىك ئەھدى تەشكىلاتى	Noord-Atlantische Verdragsorganisatie
نوبېل مۇكاپاتى	Nobelprijs
چىن شىخۇاڭ	Qin Shi Huangdi
خەن سۇلالىسى	Han-dynastie
فېمىنىزم	Feminisme
ئىدېئولوگىيە	Ideologie
پەي توپ	Badminton
يۈەن سۇلالىسى	Yuan-dynastie
كولۇمبو	Christoffel Columbus
يەھۇدىلار	Joden
سېرىق دەريا	Gele Rivier
قۇلاق	Oor
بۇرۇن	Neus
كۆز	Oog (anatomie)
مۇسكۇل	Spier (anatomie)
Töge	Kamelen
پىل	Olifanten
چۈمۈلە	Mieren
سۈي سۇلالىسى	Sui-dynastie
گوللاندىيە تىلى	Nederlands
ماگرىت ساچىر	Margaret Thatcher
ياڭ جىيەن	Sui Wendi
دېئوكسىرىبونۇكلېئىك كىسلاتا	Desoxyribonucleïnezuur
سۇڭ سۇلالىسى	Song-dynastie
Çeyze	Aubergine (plant)
رۇس تىلى	Russisch
ساخالىن	Sachalin
نېفىت ئېكىسپورت قىلغۇچى دۆلەتلەر تەشكىلاتى (OPEC)	Organisatie van olie-exporterende landen
خەلقئارا پۇل فوندى تەشكىلاتى	Internationaal Monetair Fonds
دۇنيا سودا تەشكىلاتى	Wereldhandelsorganisatie
سۋاھىلىچە	Swahili
توكيو ئۇنىۋېرستېتى	Universiteit van Tokio
خەنزۇ تىلى	Chinese talen
ئۆپكە	Long (orgaan)
نەپەسلىنىش سىستېمى	Ademhalingsstelsel
رۇمىنىيە تىلى	Roemeens
بۇلغارىيە تىلى	Bulgaars
يەر تەۋرەش	Aardbeving
ماگادان	Magadan
تەبىئىي پەن	Natuurwetenschap
فرانكلىن روزۋېلت	Franklin Delano Roosevelt
ﺋﯩﺒﯩﻦ ﺳﯩﻨﺎ	Avicenna
نىلسۇن ماندىلا	Nelson Mandela
مارتىن لوتىر كىڭ	Martin Luther King
Yanardag	Vulkaan
ئىسسىق بەلباغ سىكلونى	Tropische cycloon
تېلۇگۇ تىلى	Telugu (taal)
گرۇزىن تىلى	Georgisch
ئىقتىسادشۇناسلىق	Economie
يېن	Japanse yen
قىزىل تۈلكە	Vos (dier)
ئىسكىرىپكا	Viool
چوڭ ئىسكىروپكا	Cello
ئىسكەندەر زۇلقەرنەيىن	Alexander de Grote
ئۆمەر ئىبنى خەتتاب	Omar ibn al-Chattab
ئامۇ دەرياسى	Amu Darja
سۈت	Melk (drank)
سۇن جۇڭشەن	Sun Yat-sen
شياڭگاڭ	Hongkong
Miami	Miami
كاراچى	Karachi
Rio dé Janéyro	Rio de Janeiro (stad)
سوغۇق ئۇرۇش	Koude Oorlog
شاڭخەي شەھىرى	Shanghai
Bilbaw	Bilbao
Séwéliye	Sevilla (stad)
چىڭ سۇلالىسى	Qing-dynastie
توماس ئىدىسون	Thomas Edison
ئالبان تىلى	Albanees
باسكى تىلى	Baskisch
ئاراگون تىلى	Aragonees
ئەرمەن تىلى	Armeens
ئۇكرائىن تىلى	Oekraïens
Walénsiye	Valencia (stad)
Malaga	Málaga (stad)
