ทวีปแอฟริกา	Afrika
กูเกิล	Google Inc.
ประเทศเม็กซิโก	Mexico (land)
มหาสมุทรแอตแลนติก	Atlantische Oceaan
มหาสมุทรแปซิฟิก	Grote Oceaan
รัฐแคลิฟอร์เนีย	Californië
บอสตัน	Boston
Pneumonoultramicroscopicsilicovolcanoconiosis	Pneumonoultramicroscopicsilicovolcanoconiosis
วันจันทร์	Maandag
ปริภูมิ	Ruimte (natuurkunde)
มกราคม	Januari
กุมภาพันธ์	Februari
มีนาคม	Maart
ดาวอังคาร	Mars (planeet)
มาร์ส	Mars (mythologie)
ประเทศเคนยา	Kenia
ประเทศเอธิโอเปีย	Ethiopië
พระมหากษัตริย์	Monarch (staatshoofd)
ประเทศกานา	Ghana
เมษายน	April
พฤษภาคม	Mei
มิถุนายน	Juni
กรกฎาคม	Juli
สิงหาคม	Augustus (maand)
กันยายน	September
ตุลาคม	Oktober
พฤศจิกายน	November
ธันวาคม	December
วันอังคาร	Dinsdag
วันพุธ	Woensdag
วันพฤหัสบดี	Donderdag
วันศุกร์	Vrijdag
วันเสาร์	Zaterdag
วันอาทิตย์	Zondag
บิชอป (หมากรุก)	Loper (schaken)
เบี้ย (หมากรุก)	Pion (schaken)
ม้า (หมากรุก)	Paard (schaken)
เรือ (หมากรุก)	Toren (schaken)
ขุน (หมากรุก)	Koning (schaken)
ควีน (หมากรุก)	Dame (schaken)
สิงโต	Leeuw (dier)
ประเทศฝรั่งเศส	Frankrijk
ภาษาเอสเปรันโต	Esperanto
หมา	Hond
สหราชอาณาจักร	Verenigd Koninkrijk
แมว	Kat (dier)
ประเทศจีน	Volksrepubliek China
ภาษาฝรั่งเศส	Frans
วิกิพจนานุกรม	Wiktionary
ปลา	Vissen (dieren)
เอทานอล	Ethanol
เครื่องดื่มแอลกอฮอล์	Alcoholische drank
ประเทศบราซิล	Brazilië
แอลกอฮอล์	Alcohol (stofklasse)
ฟร็องซัว ออล็องด์	François Hollande
ประเทศรัสเซีย	Rusland
อันดับวาฬและโลมา	Walvisachtigen
ใยแก้วนำแสง	Optische vezel
ยอร์กเชอร์	Yorkshire
รูปสี่เหลี่ยมจัตุรัส	Vierkant (meetkunde)
ทะเล	Zee
ทะเลดำ	Zwarte Zee
พาย (ค่าคงตัว)	Pi (wiskunde)
พาย (อักษรกรีก)	Pi (letter)
วิกิ	Wiki
โทรอนโต	Toronto
รัฐแอละแบมา	Alabama
เซาเปาลู	São Paulo (stad)
รัฐเซาเปาลู	São Paulo (staat)
รัฐควิเบก	Quebec (provincie)
พิซซ่า	Pizza
พาสตา	Pasta (deegwaar)
โบอิง 747	Boeing 747
วิกิมีเดีย	Wikimedia Foundation
จิมมี เวลส์	Jimmy Wales
ประเทศเยอรมนี	Duitsland
ประเทศเบลารุส	Wit-Rusland
แลร์รี แซงเจอร์	Larry Sanger
อิลกันโตเดลยีอีตาเลียนี	Il Canto degli Italiani
ภาษาเยอรมัน	Duits
ประเทศไอซ์แลนด์	IJsland
พระเป็นเจ้า	God (monotheïsme)
ประเทศเอสโตเนีย	Estland
เดวิด แคเมอรอน	David Cameron
ดาวเสาร์	Saturnus (planeet)
ช็อกโกแลต	Chocolade
เครื่องบิน	Vliegtuig
สงคราม	Oorlog
1	1 (getal)
2	2 (getal)
3	3 (getal)
4	4 (getal)
5	5 (getal)
0	0 (getal)
อนันต์	Oneindigheid
สตีเฟน ฮาร์เปอร์	Stephen Harper
จอร์จ ดับเบิลยู. บุช	George W. Bush
รูปสี่เหลี่ยมมุมฉาก	Rechthoek
มุมฉาก	Rechte hoek
ประเทศลัตเวีย	Letland
ประเทศยูเครน	Oekraïne
สาธารณรัฐเช็ก	Tsjechië
ประเทศสโลวาเกีย	Slowakije
ประเทศสโลวีเนีย	Slovenië
วิลนีอุส	Vilnius
ประเทศมอลโดวา	Moldavië (land)
ประเทศโรมาเนีย	Roemenië
ประเทศบัลแกเรีย	Bulgarije
โรม	Rome (stad)
ประเทศมาซิโดเนีย	Macedonië (land)
ประเทศแอลเบเนีย	Albanië
กรีนแลนด์	Groenland
ประเทศโครเอเชีย	Kroatië
ประเทศบอสเนียและเฮอร์เซโกวีนา	Bosnië en Herzegovina
นุก	Nuuk
ประเทศอาเซอร์ไบจาน	Azerbeidzjan
ประเทศอันดอร์รา	Andorra
ประเทศไซปรัส	Cyprus
ประเทศจอร์เจีย	Georgië
เขตวัลลูน	Wallonië
ประเทศคาซัคสถาน	Kazachstan
ประเทศมอลตา	Malta (land)
แฟลนเดอส์	Vlaanderen
ประเทศโมนาโก	Monaco
ประเทศมอนเตเนโกร	Montenegro
นครรัฐวาติกัน	Vaticaanstad
ประเทศซานมารีโน	San Marino
นครบรัสเซลส์	Brussel (stad)
บรัสเซลส์	Brussels Hoofdstedelijk Gewest
ประเทศคิวบา	Cuba (land)
ประเทศเบลีซ	Belize (land)
หอไอเฟล	Eiffeltoren
ประเทศบาร์เบโดส	Barbados
โฟล์กสวาเกน	Volkswagen
โฟล์กสวาเกน กอล์ฟ	Volkswagen Golf
อินเทล	Intel
คีย์บอร์ด (คอมพิวเตอร์)	Toetsenbord (computer)
ภาษาจาวา	Java (programmeertaal)
ประเทศอินโดนีเซีย	Indonesië
เควอร์ตี	QWERTY
โวล์ฟกัง อะมาเดอุส โมซาร์ท	Wolfgang Amadeus Mozart
ลุดวิจ ฟาน เบโทเฟน	Ludwig van Beethoven
ภาษาตุรกี	Turks
เซตมานดัลบรอ	Mandelbrotverzameling
ประเทศแอฟริกาใต้	Zuid-Afrika
ฌ็อง-ฟร็องซัว ช็องปอลียง	Jean-François Champollion
ลิงคินพาร์ก	Linkin Park
ประเทศแอลจีเรีย	Algerije
วิกิซอร์ซ	Wikisource
ประเทศอุซเบกิสถาน	Oezbekistan
หยาดน้ำค้าง (สกุล)	Zonnedauw
พอซนาน	Poznań (stad)
ทาชเคนต์	Tasjkent
วอร์ซอ	Warschau
ไอเลย์	Islay (eiland)
การประกวดเพลงยูโรวิชัน	Eurovisiesongfestival
วิสกี้	Whisky
ไวน์	Wijn
น้ำ	Water
คอนญัก	Cognac (drank)
ไม้	Hout
โทรทัศน์	Televisie
เพศ	Sekse
งานลามก	Pornografie
ภาษาไอซ์แลนด์	IJslands
โกลด มอแน	Claude Monet
เดียโก เบลัซเกซ	Diego Velázquez (kunstschilder)
ประเทศชิลี	Chili
เอลเกรโก	El Greco
พระเยซู	Jezus (traditioneel-christelijk)
เอลวิส เพรสลีย์	Elvis Presley
การลงโทษทางกาย	Lijfstraf
กาลิเลโอ กาลิเลอี	Galileo Galilei
ดาวพุธ	Mercurius (planeet)
ประวัติศาสตร์	Geschiedenis
แอปเปิล (บริษัท)	Apple Inc.
ดาวศุกร์	Venus (planeet)
ภาษา	Taal
ความรัก	Liefde
ระบอบเผด็จการ	Dictatuur
ดาราจักร	Sterrenstelsel
ดาวพฤหัสบดี	Jupiter (planeet)
มีเชล บาเชเล	Michelle Bachelet
ทางช้างเผือก	Melkweg (sterrenstelsel)
บิกแบง	Oerknal
ดาวยูเรนัส	Uranus (planeet)
แคว้นเบรอตาญ	Bretagne (schiereiland)
วิกิพีเดียภาษาอังกฤษ	Engelstalige Wikipedia
นีกอลา ซาร์กอซี	Nicolas Sarkozy
ดาวเนปจูน	Neptunus (planeet)
ดาราศาสตร์	Astronomie
ประเทศสิงคโปร์	Singapore
วิทยาศาสตร์	Wetenschap
ทะเลสาบเว็บสเตอร์	Chaubunagungamaugmeer
จักรวาลวิทยา	Kosmologie
ดาวพลูโต	Pluto (dwergplaneet)
มอนทรีออล	Montreal (Canada)
ซอฟต์แวร์เสรี	Vrije software
อนาคต	Toekomst
มารีย์ (มารดาพระเยซู)	Maria (moeder van Jezus)
พระเจ้าหลุยส์ที่ 9 แห่งฝรั่งเศส	Lodewijk IX van Frankrijk
ประเทศลิกเตนสไตน์	Liechtenstein
แคปซูลกาลเวลา	Tijdcapsule
กีฬา	Sport
เคมบริดจ์	Cambridge (Verenigd Koninkrijk)
อุทยานแห่งชาติเยลโลว์สโตน	Yellowstone National Park
อดอล์ฟ ฮิตเลอร์	Adolf Hitler
เฟซบุ๊ก	Facebook
กูเกิล+	Google+
วิกิลีกส์	WikiLeaks
จูเลียน อาสซานจ์	Julian Assange
สงครามโลกครั้งที่หนึ่ง	Eerste Wereldoorlog
สงครามโลกครั้งที่สอง	Tweede Wereldoorlog
สงครามโลกครั้งที่สาม	Derde Wereldoorlog
โคโลญ	Keulen (stad)
การทุจริตทางการเมือง	Corruptie
วิกิตำรา	Wikibooks
วิกิคำคม	Wikiquote
วิกิวิทยาลัย	Wikiversity
!!!	!!!
วิกิท่องเที่ยว	Wikivoyage
วอดก้า	Wodka
นาฬิกา	Klok (tijd)
อูบุนตู	Ubuntu (Linuxdistributie)
สโกเปีย	Skopje
ลินุกซ์	Linux
บ็อบ ดิลลัน	Bob Dylan
มาตรวิทยา	Metrologie
คณิตศาสตร์	Wiskunde
ยูทู	U2 (band)
ภาษาละติน	Latijn
ประเทศบาห์เรน	Bahrein
ประเทศอาร์มีเนีย	Armenië
เจนนา เจมสัน	Jenna Jameson
อักษรรูปลิ่ม	Spijkerschrift
อนุภาคฮิกส์	Higgsboson
ประเทศเซอร์เบีย	Servië
ดวงจันทร์	Maan
อิสตันบูล	Istanboel
ประเทศออสเตรเลีย	Australië (land)
บ็อบ มาร์เลย์	Bob Marley
คาร์ล เซแกน	Carl Sagan
ฟิสิกส์	Natuurkunde
ประเทศอาร์เจนตินา	Argentinië
โทรคมนาคม	Telecommunicatie
ประเทศเปรู	Peru
ชีววิทยา	Biologie
ยูเอฟโอ	Unidentified flying object
ประเทศเกาหลีเหนือ	Noord-Korea
ประเทศกัมพูชา	Cambodja
แถบไคเปอร์	Kuipergordel
อัลกุรอาน	Koran
ไดโนเสาร์	Dinosauriërs
สัตววิทยา	Zoölogie
ศาสนาอิสลาม	Islam
ลูบลิยานา	Ljubljana
พฤกษศาสตร์	Plantkunde
ผมเป็นชาวเบอร์ลิน	Ich bin ein Berliner
ล้อ	Wiel (voortbeweging)
สารานุกรม หรือพจนานุกรมอันเป็นระบบว่าด้วยวิทยาศาสตร์ ศิลปกรรม และหัตถกรรม	Encyclopédie
เดอนี ดีเดอโร	Denis Diderot
จิต	Geest
สันติภาพ	Vrede
สารานุกรมบริตานิกา	Encyclopædia Britannica
ลียง	Lyon
สหภาพยุโรป	Europese Unie
พลอฟดิฟ	Plovdiv (stad)
อินเทอร์เน็ตอาร์ไคฟ์	Internet Archive
สตาร์ วอร์ส	Star Wars
แคว้นโรนาลป์	Rhône-Alpes
เวิลด์ไวด์เว็บ	Wereldwijd web
ผู้หญิง	Vrouw
เอนไซโคลปิเดีย กาแลคติกา	Encyclopedia Galactica
โซเฟีย	Sofia (stad)
สะพานส่งน้ำ	Aquaduct (watergang)
ดอนกิโฆเต้	Don Quichot (boek)
.xxx	.xxx
กวีนิพนธ์	Poëzie
เมกาอัพโหลด	Megaupload
ไวรัสคอมพิวเตอร์	Computervirus
ภัยพิบัติเชอร์โนบิล	Kernramp van Tsjernobyl
การทิ้งระเบิดนิวเคลียร์ที่ฮิโระชิมะและนะงะซะกิ	Atoombommen op Hiroshima en Nagasaki
มิลาน	Milaan (stad)
ความจำ	Geheugen (psychologie)
ตูริน	Turijn (stad)
อุจจาระ	Ontlasting
ทวารหนัก	Anus (anatomie)
เลมอน	Citroen (vrucht)
กล้วย	Banaan (vrucht)
พ.ศ. 1209	666
ดอก	Bloem (plant)
กูกอล	Googol
กูกอลเพลกซ์	Googolplex
ร่องลึกก้นสมุทรมาเรียนา	Marianentrog
วลาดีมีร์ วืยซอตสกี	Vladimir Vysotski
ยอดเขาเอเวอเรสต์	Mount Everest
กายวิภาคศาสตร์	Anatomie
นคร	Stad
จักรพรรดินโปเลียนที่ 1	Napoleon Bonaparte
ภูเขาไฟโอลิมปัส	Olympus Mons
สรีรวิทยา	Fysiologie
ดาวฤกษ์	Ster (hemellichaam)
ภูเขาไฟวิสุเวียส	Vesuvius (vulkaan)
ดวงอาทิตย์	Zon
ท้องฟ้า	Hemelgewelf
PSR B1257+12	PSR B1257+12
หลุยส์ ปาสเตอร์	Louis Pasteur
ปีแสง	Lichtjaar
หมู่บ้าน	Dorp
วิกตอร์ อูโก	Victor Hugo
ปลากัดป่าภาคใต้	Betta imbellis
โอเชียเนีย	Oceanië
กรีฑา	Atletiek
การตรวจพิจารณา	Censuur (informatie)
ระบบสุริยะ	Zonnestelsel
ทะเลบอลติก	Oostzee
ตรีเอสเต	Triëst (stad)
แม่น้ำวิสวา	Wisła (rivier)
ปลากัด	Siamese kempvis
ช็องเซลีเซ	Avenue des Champs-Élysées
โอเดอร์	Oder
ฟัน	Tand
ไฮโดรเจน	Waterstof (element)
ฮีเลียม	Helium
นรก	Hel (mythologie)
วิกิมีเดียคอมมอนส์	Wikimedia Commons
แดนชำระ	Vagevuur
อังเกลา แมร์เคิล	Angela Merkel
ลิเทียม	Lithium (element)
เบริลเลียม	Beryllium
ลำโพง	Luidspreker
หนังสือ	Boek (document)
วัน	Dag
ประเทศติมอร์-เลสเต	Oost-Timor
กลางคืน	Nacht
ปี	Jaar
ศตวรรษ	Eeuw
วูช	Łódź (stad)
ยอดเขามงบล็อง	Mont Blanc
แม่น้ำไรน์	Rijn
ออสโล	Oslo
บอนน์	Bonn
วันสมโภชนักบุญทั้งหลาย	Allerheiligen
คาโตวีตเซ	Katowice
หลุมดำ	Zwart gat
ซีรีส	Ceres (dwergplaneet)
ลิสบอน	Lissabon
เชชูฟ	Rzeszów
อิจิโร่ ซูซูกิ	Ichiro Suzuki
เฮาเมอา	Haumea
แม่น้ำโรน	Rhône (rivier)
มาคีมาคี	Makemake
อีริส	Eris (dwergplaneet)
ดูไบ	Dubai (emiraat)
เลียวเนล เมสซี	Lionel Messi
ปาโดวา	Padua (stad)
โบรอน	Boor (element)
นิโคเลาส์ โคเปอร์นิคัส	Nicolaas Copernicus
แวร์ซาย	Versailles
ลุดวิจส์บูร์ก	Ludwigsburg (stad)
คาร์บอน	Koolstof
อาเลสซันโดร เดล ปีเอโร	Alessandro Del Piero
แม่น้ำวอลกา	Wolga
ไนโตรเจน	Stikstof (element)
แบร์กาโม	Bergamo (stad)
ออกซิเจน	Zuurstof (element)
สโมสรฟุตบอลอินแตร์นาซีโอนาเลมีลาโน	FC Internazionale Milano
นีล ยัง	Neil Young
ดาวเคราะห์	Planeet
คลีโอพัตรา	Cleopatra VII
เคต บุช	Kate Bush
ดนตรี	Muziek
เวนิส	Venetië (stad)
นินจาคาถาโอ้โฮเฮะ	Naruto (manga)
แม่น้ำโป	Po (rivier)
เทอร์มอมิเตอร์	Thermometer
แรน	Rennes
ลีล	Rijsel
มอสโก	Moskou
ฟลูออรีน	Fluor (element)
ภาษาอิตาลี	Italiaans (taal)
ชีวาวา (พันธุ์สุนัข)	Chihuahua (hond)
นีออน	Neon (element)
รัฐชีวาวา	Chihuahua (staat)
เซนต์ปีเตอร์สเบิร์ก	Sint-Petersburg
ประเทศชาด	Tsjaad
โซเดียม	Natrium
ทิศเหนือ	Noord (windstreek)
แมกนีเซียม	Magnesium
อีวานเกเลียน	Neon Genesis Evangelion
อะลูมิเนียม	Aluminium
ประเทศนิวซีแลนด์	Nieuw-Zeeland
ทิศใต้	Zuid
ประเทศอินเดีย	India
ซิลิคอน	Silicium
แฟรนเซียม	Francium
ประเทศตูวาลู	Tuvalu
วันพีซ	One Piece
ฟอสฟอรัส	Fosfor
อ็องเดร-มารี อ็องแปร์	André-Marie Ampère
ร้อยแก้ว	Proza
เหล็ก	IJzer (element)
ประเทศตองกา	Tonga (land)
ทิศตะวันตก	West
อาเลสซานโดร โวลตา	Alessandro Volta
กำมะถัน	Zwavel
ประเทศซามัว	Samoa
ทิศตะวันออก	Oost (windstreek)
หมู่เกาะโซโลมอน	Salomonseilanden
ประเทศวานูอาตู	Vanuatu
มอลีแยร์	Molière (schrijver)
คลอรีน	Chloor (element)
เดลฟท์	Delft
ประเทศปาปัวนิวกินี	Papoea-Nieuw-Guinea
วิลเลียม เชกสเปียร์	William Shakespeare
จังหวัดเซาท์ฮอลแลนด์	Zuid-Holland
ประเทศปาเลา	Palau (land)
อาร์กอน	Argon
ประเทศนาอูรู	Nauru
มอซิลลา ไฟร์ฟอกซ์	Mozilla Firefox
เทพนิยาย	Sprookje
จังหวัดนอร์ทฮอลแลนด์	Noord-Holland
ประเทศไมโครนีเซีย	Micronesia
โพแทสเซียม	Kalium
ออแล็งปิกลียอแน	Olympique Lyonnais
จังหวัดเซลันด์	Zeeland (provincie)
แคลเซียม	Calcium
จังหวัดเฟลโฟลันด์	Flevoland
ตะกั่ว	Lood (element)
สาธารณรัฐหมู่เกาะมาร์แชลล์	Marshalleilanden
ประเทศคิริบาส	Kiribati
ประเทศมองโกเลีย	Mongolië
ประเทศฟิจิ	Fiji
สแกนเดียม	Scandium
สตีวี วันเดอร์	Stevie Wonder
ไทเทเนียม	Titanium
ประเทศเวเนซุเอลา	Venezuela
หมากรุกสากล	Schaken
เจงกีส ข่าน	Dzjengis Khan
วาเนเดียม	Vanadium
รัฐเมน	Maine
โครเมียม	Chroom (element)
ม้า	Paard (dier)
อัมสเตอร์ดัม	Amsterdam
อาวุธ	Gevechtswapen
สัตว์	Dierenrijk
ประเทศซูรินาม	Suriname
แมงกานีส	Mangaan
ประเทศปารากวัย	Paraguay
ประเทศกายอานา	Guyana
ศิลปะ	Kunst
ประเทศเอกวาดอร์	Ecuador
รีเนียม	Renium
ประเทศโคลอมเบีย	Colombia
โคบอลต์	Kobalt
ทังสเตน	Wolfraam
นิกเกิล	Nikkel
ศาสนาพุทธ	Boeddhisme
ประเทศโบลิเวีย	Bolivia
ออสเมียม	Osmium
จังหวัดโกรนิงเงิน	Groningen (provincie)
ทองแดง	Koper (element)
ประเทศตรินิแดดและโตเบโก	Trinidad en Tobago
พืช	Planten
ประเทศเซนต์วินเซนต์และเกรนาดีนส์	Saint Vincent en de Grenadines
สังกะสี	Zink (element)
รัฐนิวแฮมป์เชียร์	New Hampshire
ประเทศเซนต์ลูเซีย	Saint Lucia
เบียวิสตอค	Białystok
เลโอนาร์โด ดา วินชี	Leonardo da Vinci
ประเทศเซนต์คิตส์และเนวิส	Saint Kitts en Nevis
เห็ดรา	Schimmels
ดาริโอ โฟ	Dario Fo
ประเทศจาเมกา	Jamaica
ประเทศเกรเนดา	Grenada
จังหวัดฟรีสลันด์	Friesland
รัฐแมสซาชูเซตส์	Massachusetts
จังหวัดเดรนเทอ	Drenthe
จังหวัดโอเฟอไรส์เซิล	Overijssel
ประเทศกัวเตมาลา	Guatemala
จังหวัดเกลเดอร์ลันด์	Gelderland
จังหวัดยูเทรกต์	Utrecht (provincie)
กูเกิล โครม	Google Chrome
ประเทศบาฮามาส	Bahama's
รัฐคอนเนตทิคัต	Connecticut
ไก่	Kip (vogel)
ประเทศแอนติกาและบาร์บูดา	Antigua en Barbuda
รัฐฮาวาย	Hawaï
ประเทศฮอนดูรัส	Honduras
ประเทศดอมินีกา	Dominica
เจอร์ซีย์	Jersey (eiland)
สาธารณรัฐโดมินิกัน	Dominicaanse Republiek
สุกร	Varken (tam)
มหาสมุทรอาร์กติก	Noordelijke IJszee
ประเทศเฮติ	Haïti
ตาอูมาตาฟากาตังกีฮังกาโกอาอูอาอูโอตามาทีอาโปกาอีเฟนูอากีตานาตาฮู	Taumata­whakatangihanga­koauau­o­tamatea­pokai­whenua­ki­tana­tahu
ประเทศเอลซัลวาดอร์	El Salvador
ซโวลเลอ	Zwolle
ประเทศอิหร่าน	Iran
ประเทศอิรัก	Irak
รัฐอะแลสกา	Alaska
อาสเซิน	Assen
ภูมิปัญญา	Wijsheid (deugd)
ประเทศคอสตาริกา	Costa Rica
ประเทศอิสราเอล	Israël
ยูเทรกต์ (เมือง)	Utrecht (stad)
ประเทศปานามา	Panama (land)
ประเทศเยเมน	Jemen
โลซาน	Lausanne (stad)
ไวรัส	Virus (biologie)
ภาษาโปแลนด์	Pools
ประเทศจอร์แดน	Jordanië
ประเทศนิการากัว	Nicaragua
รัฐฟลอริดา	Florida (staat)
ประเทศคีร์กีซสถาน	Kirgizië
รัฐแอริโซนา	Arizona (staat)
ประเทศคูเวต	Koeweit
ประเทศลาว	Laos
ประเทศเลบานอน	Libanon
รัฐออริกอน	Oregon
ประเทศมัลดีฟส์	Maldiven
ทวีปอเมริกา	Amerika (continent)
รัฐยูทาห์	Utah
วัว	Rund
ประเทศมาเลเซีย	Maleisië
รัฐวาเล	Wallis (kanton)
ประเทศพม่า	Myanmar
ประเทศเนปาล	Nepal
ประเทศโอมาน	Oman
ประเทศปากีสถาน	Pakistan
เจมส์ บอนด์	James Bond
ประเทศกาตาร์	Qatar
เทนนิส	Tennis
มายเอสคิวเอล	MySQL
ประเทศซาอุดีอาระเบีย	Saoedi-Arabië
ล็อคฮีด แอล-1011	Lockheed L-1011 TriStar
ประเทศศรีลังกา	Sri Lanka
โจเซฟ สตาลิน	Jozef Stalin
บาร์โค้ด	Streepjescode
ประเทศซีเรีย	Syrië
เพลโต	Plato
แกลเลียม	Gallium
ประเทศทาจิกิสถาน	Tadzjikistan
โปเกมอน	Pokémon
ประเทศไต้หวัน	Taiwan
ยูทูบ	YouTube
เจอร์เมเนียม	Germanium
อาริสโตเติล	Aristoteles
ประเทศไทย	Thailand
รถไฟ	Trein
สารหนู	Arseen
เมอรีล สตรีป	Meryl Streep
ประเทศเติร์กเมนิสถาน	Turkmenistan
ซีลีเนียม	Seleen
อิริเดียม	Iridium (element)
สหรัฐอาหรับเอมิเรตส์	Verenigde Arabische Emiraten
โบรมีน	Broom (element)
แพลทินัม	Platina
ประเทศเวียดนาม	Vietnam
ชาร์ลี แชปลิน	Charlie Chaplin
โนโวซีบีสค์	Novosibirsk
ประเทศเกาหลีใต้	Zuid-Korea
เดอะซิมป์สันส์	The Simpsons
เยคาเตรินบุร์ก	Jekaterinenburg
คริปทอน	Krypton (element)
ประเทศอัฟกานิสถาน	Afghanistan
คังนัมสไตล์	Gangnam Style
นิจนีนอฟโกรอด	Nizjni Novgorod
เจ. อาร์. อาร์. โทลคีน	J.R.R. Tolkien
ซามารา (ประเทศรัสเซีย)	Samara (stad)
รูบิเดียม	Rubidium
ทองคำ	Goud
ออมสค์	Omsk
คลองสุเอซ	Suezkanaal
คาซาน	Kazan (stad)
นักวิทยาศาสตร์	Wetenschapper
ประเทศบังกลาเทศ	Bangladesh
เทพมรณะ	Bleach (manga)
ฟรานซ์ คาฟคา	Franz Kafka
กอร์ดอน ฟรีแมน	Gordon Freeman
คอร์เค ลุยส์ บอร์เคส	Jorge Luis Borges
อูฟา	Oefa
ประเทศมาลี	Mali
โสกราตีส	Socrates (filosoof)
วอลโกกราด	Wolgograd
ประเทศแองโกลา	Angola
เปียร์ม	Perm (stad)
ประเทศภูฏาน	Bhutan
ทวิตเตอร์	Twitter
ครัสโนยาสค์	Krasnojarsk
ประเทศบรูไน	Brunei
เกาะบราช	Brač
อเล็กซานเดอร์ (ชื่อ)	Alexander (voornaam)
ประเทศแทนซาเนีย	Tanzania
ปรอท	Kwik
โรอัลด์ อะมุนด์เซน	Roald Amundsen
ประเทศฟิลิปปินส์	Filipijnen
สาธารณรัฐแอฟริกากลาง	Centraal-Afrikaanse Republiek
อุซึมากิ นารูโตะ	Naruto Uzumaki
แทลเลียม	Thallium
ขั้วโลกใต้	Zuidpool
ขั้วโลกเหนือ	Noordpool
ไอแซก นิวตัน	Isaac Newton
โอเพินสตรีตแมป	OpenStreetMap
อัลเบิร์ต ไอน์สไตน์	Albert Einstein
สตรอนเชียม	Strontium
จักรพรรดิเปดรูที่ 1 แห่งบราซิล	Peter I van Brazilië
อิตเทรียม	Yttrium
บิสมัท	Bismut
สีเหลือง	Geel (kleur)
กลศาสตร์ควอนตัม	Kwantummechanica
ประเทศโตโก	Togo
ประเทศตูนิเซีย	Tunesië
ประเทศแซมเบีย	Zambia
ประเทศซิมบับเว	Zimbabwe
ปักกิ่ง	Peking
ประเทศเซาท์ซูดาน	Zuid-Soedan
วลาดีวอสตอค	Vladivostok
ประเทศเบนิน	Benin
ประเทศบอตสวานา	Botswana
วิกิข่าว	Wikinews
ประเทศบูร์กินาฟาโซ	Burkina Faso
ประเทศบุรุนดี	Burundi
ประเทศคอโมโรส	Comoren
สาธารณรัฐคองโก	Congo-Brazzaville
แม่น้ำอ็อบ	Ob (rivier)
สาธารณรัฐประชาธิปไตยคองโก	Congo-Kinshasa
แซนแอนโทนีโอ	San Antonio (Texas)
ประเทศจิบูตี	Djibouti (land)
มีม	Meme (memetica)
พอโลเนียม	Polonium
รัฐบาวาเรีย	Beieren
ประเทศอิเควทอเรียลกินี	Equatoriaal-Guinea
รัฐบาเดิน-เวือร์ทเทมแบร์ก	Baden-Württemberg
ประเทศเอริเทรีย	Eritrea
นิวเดลี	New Delhi
สมเด็จพระสันตะปาปาจอห์น ปอลที่ 2	Paus Johannes Paulus II
